name,address
AMC Star Great Lakes 25 & IMAX,"4300 Baldwin Road,       Auburn Hills,      MI      48326"
Ann Arbor 20 & IMAX,"4100 Carpenter Road & Ellsworth Avenue,       Ypsilanti,      MI      48197"
NCG Trillium & IMAX,"8220 Trillium Circle Avenue,       Grand Blanc,      MI      48439"
AMC Mission Valley 20 & IMAX,"1640 Camino Del Rio North,       San Diego,      CA      92108"
Edwards Mira Mesa Stadium 18 & IMAX,"10733 Westview Parkway,       San Diego,      CA      92126"
Fleet Science Center,"1875 El Prado,       Balboa Park,      California      92101"
Regal Parkway Plaza Stadium 18 & IMAX,"405 Parkway Plaza,       El Cajon,      CA      92020"
AMC Plaza Bonita 14 & IMAX,"3050 Plaza Bonita Road,       National City,      CA      91950"
AMC Palm Promenade 24 & IMAX,"770 Dennery Road,       San Diego,      CA      92154"
Regal Escondido Stadium 16 & IMAX,"350 W. Valley Parkway,       Escondido,      CA      92025"
"Domo IMAX, Centro Cultural Tijuana","Paseo de los H̩roes #9350, Zona Urbana Rio,       Tijuana B.C.,      Mexico      C.P. 22010"
Edwards Temecula Stadium 15 & IMAX,"40750 Winchester Road,       Temecula,      CA      92591"
AMC Rosedale 14 & IMAX,"850 Rosedale Center,       Roseville,      MN      55113"
AMC Southdale 16 & IMAX,"400 Southdale Center,       Edina,      MN      55435"
Omnitheater Science Museum of Minnesota,"120 West Kellogg Boulevard,       St. Paul,      MN      55102"
AMC Eden Prairie Mall 18 & IMAX,"8251 Flying Cloud Drive Suite 4000,       Eden Prairie,      MN      55344"
AMC Arbor Lakes 16 & IMAX,"12575 Elm Creek Boulevard North,       Maple Grove,      MN      55369"
CMX Odyssey 15 & IMAX,"14401 Burnhaven Drive,       Burnsville,      MN      55306"
AMC Veterans 24 & IMAX,"9302 Anderson Road,       Tampa,      FL      33634"
AMC The Regency 20 & IMAX,"2496 W. Brandon Blvd.,       Brandon,      FL      33511"
AMC Woodland Square 20 & IMAX,"3128 Tampa Road,       Oldsmar,      FL      34677"
AMC Sundial 20 & IMAX,"151 2nd Avenue North,       St. Petersburg,      FL      33701"
Lakeside 18 Cinemas & IMAX,"1650 Town Center Drive,       Lakeland,      FL      33803"
"Phipps IMAX, Denver Museum of Nature and Science","2001 Colorado Boulevard,       Denver,      CO      80205"
UA Colorado Center Stadium 9 & IMAX,"2000 South Colorado Boulevard at I-25,       Denver,      CO      80222"
AMC Arapahoe Crossing 16 & IMAX,"6696 South Parker Road,       Aurora,      CO      80016"
AMC Westminster Promenade 24 & IMAX,"10655 Westminster Blvd.,       Denver,      CO      80020"
AMC Orchard 12 & IMAX,"14653 Orchard Parkway,       Denver,      CO      80023"
UA Colorado Mills Stadium 16 & IMAX,"14500 West Colfax Avenue,       Lakewood,      CO      80401"
AMC Highlands Ranch 24 & IMAX,"103 W. Centennial Blvd.,       Highlands Ranch,      CO      80129"
AMC Flatiron Crossing 14 & IMAX,"61 West Flatiron Crossing Circle,       Broomfield,      Colorado      80021"
Frank Queensgate Stadium 13 & IMAX,"2067 Springwood Road,       York,      PA      17403"
"OMNIMAX, St. Louis Science Center","5050 Oakland Avenue,       St. Louis,      MO      63110"
Marcus Ronnies 20 Cine & IMAX,"5320 South Lindbergh Blvd.,       St. Louis,      MO      63126"
AMC Chesterfield 14 & IMAX,"3000 Chesterfield Mall,       Chesterfield,      MO      63017"
AMC Showplace Edwardsville 12 & IMAX,"6633 Center Grove Road,       Edwardsville,      IL      62025"
AMC Tyler 16 & IMAX,"3775 Tyler Street,       Riverside,      CA      92503"
Edwards Aliso Viejo Stadium 20 & IMAX,"26701 Aliso Creek Road, Enterprise Dr.,       Aliso Viejo,      CA      92656"
Regal Aliante Stadium 16 & IMAX,"7300 Aliante Parkway,       North Las Vegas,      NV      89084"
Regal Red Rock Stadium 16 & IMAX,"11011 West Charleston Boulevard,       Las Vegas,      NV      89135"
Brenden Theatres & IMAX at the Palms,"4321 West Flamingo Road,       Las Vegas,      NV      89103"
AMC Town Square 18 & IMAX,"6587 Las Vegas Blvd South,       Las Vegas,      Nevada      89119"
Regal Sunset Station Stadium 13 & IMAX,"West Sunset Rd - across from the Galleria Mall,       Henderson,      NV      89014"
Regal Lloyd Center 10 & IMAX,"1510 NE Multnomah Street,       Portland,      OR      97232"
Regal Cascade Stadium 16 & IMAX,"164th & Mill Plain,       Vancouver,      WA      98683"
Regal Bridgeport Village Stadium 18 & IMAX,"7329 SW Bridgeport Road,       Tigard,      OR      97224"
AMC Rivercenter 11 & IMAX,"849 E. Commerce,       San Antonio,      TX      78205"
Santikos Palladium IMAX,"The Rim - IH-10 - Exit La Cantera,       San Antonio,      TX      78257"
Esquire IMAX Theatre,"1211 K Street,       Sacramento,      CA      95814"
Regal Delta Shores 14 & IMAX,"8136 Delta Shores Circle South,       Sacramento,      CA      95832"
Regal El Dorado Hills Stadium 14 & IMAX,"2101 Vine Street,       El Dorado Hills,      CA      95762"
Regal Stockton City Centre Stadium 16 & IMAX,"222 North El Dorado Street,       Stockton,      CA      95202"
Regal Pointe Orlando Stadium 20 & IMAX,"9101 International Drive,       Orlando,      FL      32819"
Regal Waterford Lakes Stadium 20 & IMAX,"541 North Alafaya Trail,       Orlando,      FL      32828"
AMC Altamonte Mall 18 & IMAX,"433 E. Altamonte Dr.,       Altamonte Springs,      FL      32701"
